codigo,catalogo,producto,descripcion,precio,pagina,descuento,tipo_oferta,imagen
18730,Lbel,EXPERTÉ LISO IMPECABLE ACONDICIONADOR,,18,61,,,
18721,Lbel,EXPERTÉ RIZOS HD SHAMPOO,,18,62,,,
15768,Lbel,EXPERTÉ DAÑOS EXTREMOS SHAMPOO,,18,62,,,
05284,Lbel,HOMME EXPERT. DESODORANTE,,6.5,63,,,
08163,Lbel,HOMME EXPERT. ESPUMA,,9,64,,,
11837,Lbel,HOMME EXPERT. SHAMPOO,,9,64,,,
07360,Lbel,LABIAL INFINI DUAL,,21.5,65,,,
12667,Lbel,LABIAL INFINI BARRA.,,14.5,66,,,
08474,Lbel,LABIAL INFINI ABSOLU.,,13.5,66,,,
07961,Lbel,LABIAL FOREVER BARRA.,,17.5,66,,,
11571,Lbel,LABIAL FOREVER LÍQUIDO.,,20.5,67,,,
20072,Lbel,LABIAL FOREVER DUAL 38H.,,13,67,,,
09891,Lbel,PRO-HIALURON BALM.,,10.5,68,,,
06627,Lbel,EXTREME LONG.,,20.5,69,,,
07377,Lbel,MONUMENTAL LASHES.,,26.5,70,,,
06196,Lbel,ESTUCHE PERFECCIONADOR PARA CEJAS Y OJOS,,35.5,70,,,
08429,Lbel,LINER PRRÉCIS INTENSE,,17.5,70,,,
06628,Lbel,SUPREME VOLUME.,,20.5,71,,,
35400,Lbel,SET MIRADA DE IMPACTO,,42,72,,,
20964,Lbel,GEL INTENSE.,,12,72,,,
04615,Lbel,LINER RÉSIST INTENSE.,,12.5,73,,,
07224,Lbel,BROW GEL INTENSE.,,14.5,73,,,
08130,Lbel,FOREVER PRIMER,,24,74,,,
14886,Lbel,RUBOR FOREVER BLUSH.,,25.5,74,,,
03450,Lbel,BASE SOLUTIONS PRO-CLARITE.,,38,74,,,
35363,Lbel,BASE SOLUTIONS PRO-HIALURON.,,29.5,74,,,
09675,Lbel,CORRECTOR SOLUTIONS PRO-HIALURON.,,15,75,,,
00894,Lbel,BASE SOLUTIONS PRO-NUDE SKIN.,,28.5,77,,,
01160,Lbel,BASE CONCENTRÉ.,,33.5,78,,,
05755,Lbel,CORRECTOR CONCENTRÉ.,,16.5,78,,,
08757,Lbel,BASE FOREVER MATTE 72H.,,24,79,,,
07346,Lbel,BASE FOREVER HYDRA 90H.,,21.5,80,,,
19077,Lbel,POLVOS SUELTOS EXTRA FINOS PORTABLES FPS 15.,,19.5,80,,,
09358,Lbel,POLVOS FOREVER MATTE.,,21,80,,,
09749,Lbel,POLVOS CONCENTRÉ.,,25.5,81,,,
05044,Lbel,POLVOS DIVINE.,,35.5,81,,,
01658,Lbel,POLVOS FOREVER BRONZER.,,23,81,,,
09720,Lbel,POLVOS FOREVER HYDRA 36H.,,23,82,,,
09676,Lbel,POLVOS SOLUTIONS PRO-HIALURON.,,23.5,82,,,
10419,Lbel,ESSENTIAL DESMAQUILLADOR BIFÁSICO 125 ML,,13,83,,,
